name,Email,Password,DOB,Ethnicity,Gender,Enrolled,
Stacy Giller,giller@example.com,123,"October 30, 1998",Hawaiian,F,"August 22, 2018",
Oliver J. Greenwitch,green@example.com,123,"October 8, 1998",Amarican,M,"September 15, 2018",
Marilyn R. Johnson,johns@example.com,123,"October 20, 1999",Caucasian,F,"October 21, 2018",
Ryan Moffett,moffe@example.com,123,"March 14, 2000",American,F,"August 8, 2018",
Graham Carter,carte@example.com,123,"July 13, 1998",African,M,"March 12, 2018",
David Krumholz,mikeortner@example.com,123,"May 16, 2001",,M,"March 12, 2018",
Alberto Martin,polinaufa@example.com,123,"May 18, 2001",,M,"March 12, 2018",
Sanjay Shroff,tamerlan76@example.com,123,"April 1, 2000",,F,"March 12, 2018",
Zeffry Suzi Nasir,somicqa@example.com,123,"December 31, 1998",Indonesian,F,"March 12, 2018",
James Burke,brukejam@example.com,123,"July 11, 2000",,M,"March 12, 2018",
Umoru Mohammed,bromanow@example.com,123,"January 20, 2002",,M,"March 12, 2018",
Charles Stovall,biigberd@example.com,123,"August 29, 2001",,M,"March 12, 2018",
Douglas Elder,mathyv@example.com,123,"March 9, 1999",,M,"March 12, 2018",
Tolga Tavli,lilianabv@example.com,123,"September 16, 1998",,M,"March 12, 2018",
Babji Kurapati,evankeisz@example.com,123,"February 6, 1999",,M,"March 12, 2018",
Bart De Vries,sj004g2159@example.com,123,"February 6, 1999",European,M,"March 12, 2018",
Mysz Myszowska,xsuslikx@example.com,123,"February 6, 1999",Russian,F,"March 12, 2018",
Vldimir Velickovic,viva_cartwright25@example.com,123,"February 6, 1999",Russian,F,"March 12, 2018",
Nantha Kumar,alexanosrdc@example.com,3231,"February 6, 1999",Asian,M,"March 12, 2018",
Bruce Dat,trooper@example.com,123,"August 8, 1999",Asian,M,"March 12, 2018",
Franklin Rony,aliyah75@example.com,123,"February 6, 1999",,M,"March 12, 2018",
Surendra Togata,milanamakoeva@example.com,123,"February 6, 1999",,F,"March 12, 2018",
